Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
PRRY,PLANET RES RECOVERY INC,Pink No Information,0.026600,-19.1489,"2,298,379 ",Common Stock,USA,Texas
XGEN,NEXGEN HOLDINGS CORP,Pink No Information,0.017000,0,"325,000 ",Common Stock,USA,Arizona
BLMC,BILOXI MARSH LANDS CORP,Pink No Information,3.900000,,0 ,Common Stock,USA,Louisiana
ERINQ,ERIN ENERGY CORP,Pink No Information,0.009285,4.2088,"199,670 ",Common Stock,USA,Texas
QENC,QUEENCH INC,Pink No Information,0.007100,-11.25,"24,550 ",Common Stock,USA,New York
NSTM,NOVELSTEM INTL CORP,Pink No Information,0.265000,-1.8519,"4,800 ",Common Stock,USA,Florida
PBEV,PREMIUM BEVERAGE GRP INC,Pink No Information,0.030000,,3 ,Common Stock,USA,New York
MDIT,MEDITE CANCER DIAGNOSTICS,Pink No Information,0.017500,,0 ,Common Stock,USA,Florida
BLLI,BELL INDUSTRIES INC,Pink No Information,781.120000,-73.9627,1 ,Common Stock,USA,Indiana
AFFL,AFFILIATED RES CORP,Pink No Information,0.001300,-82.8947,"471,964 ",Common Stock,USA,Ohio
BRST,BROAD STREET REALTY INC,Pink No Information,1.150000,,0 ,Common Stock,USA,Maryland
BRSI,BALLISTIC RECOVRY SYS INC,Pink No Information,0.050000,,0 ,Common Stock,USA,Minnesota
BPMI,BADGER PAPER MILLS INC,Pink No Information,0.069000,137.931,"1,500 ",Common Stock,USA,Wisconsin
GSPI,GREEN STAR PRODUCTS INC,Pink No Information,0.009000,-16.2791,"599,528 ",Common Stock,USA,Montana
AZLCZ,AZTEC LND&CATTLE CO C/CTF,Pink No Information,275.000000,,0 ,Common Stock,USA,Arizona
AXPT,AXIS PETROLEUM CO CAP,Pink No Information,1.140000,,0 ,Common Stock,USA,California
AVOA,AVOCA LLC,Pink No Information,"1,000.000000",10.9878,1 ,Common Stock,USA,Louisiana
CITY,AVALON CORRECTIONAL INC,Pink No Information,0.000000,,0 ,Common Stock,USA,Oklahoma
ASAM,ASSURANCEAMERICA,Pink No Information,0.000000,,0 ,Common Stock,USA,Georgia
ELGL,ELEMENT GLOBAL INC,Pink No Information,0.120000,-2.834,"5,000 ",Common Stock,USA,California
ATCN,ATEC INC TEX,Pink No Information,11.330000,,0 ,Common Stock,USA,Texas
ASTO,ASTRO COMMUNICATIONS INC,Pink No Information,2.900000,,50 ,Common Stock,USA,Illinois
ARINA,ARISTA INVESTORS CORP,Pink No Information,0.221000,,0 ,Common Stock,USA,New York
JMON,JAMES MONROE CAP CORP,Pink No Information,0.000500,0,"280,000 ",Common Stock,USA,Utah
TMEB,TERME BANCORP INC,Pink No Information,0.004300,,0 ,Common Stock,USA,Illinois
MRPI,MERA PHARMACEUTICALS INC,Pink No Information,0.008750,-6.9149,"127,666 ",Common Stock,USA,Florida
USWF,U.S. WIND FARMING INC,Pink No Information,0.007500,-25,"636,555 ",Common Stock,USA,Illinois
VTEQ,VERITEQ CORPORATION,Pink No Information,0.200000,-50,"7,344 ",Common Stock,USA,Florida
ANTI,ANTIGENICS INC COLO,Pink No Information,0.011000,,0 ,Common Stock,USA,Pennsylvania
AGTT,ANGSTROM TECHNOLOGIES INC,Pink No Information,0.020000,,0 ,Common Stock,USA,Kentucky
AVOT,AMER VIDEO TELECONFRENCNG,Pink No Information,0.050000,,0 ,Common Stock,USA,Nevada
ASLM,AMER SILVER MINING CO,Pink No Information,0.164000,0.6135,"6,050 ",Common Stock,USA,Washington
ICTPU,AMER RSTRNT PRT A UTS,Pink No Information,"1,079.000000",,0 ,Common Stock,USA,Kansas
ETEC,EMTEC INC NEW,Pink No Information,0.160000,,0 ,Common Stock,USA,New Jersey
HIRU,HIRU CORP,Pink No Information,0.001595,6.3333,"18,707,372 ",Common Stock,USA,Arizona
AEGG,AMER ENERGY GROUP LTD,Pink No Information,0.019900,24.375,"43,600 ",Common Stock,USA,Connecticut
ADLI,AMER MEDICAL TECHS INC,Pink No Information,0.010000,-49.7235,"48,070 ",Common Stock,USA,Texas
ANCSQ,AMERICAN CONSUMERS INC,Pink No Information,0.770000,,0 ,Common Stock,USA,Georgia
LTFD,LITTLEFIELD CORP,Pink No Information,0.181000,,0 ,Common Stock,USA,Texas
ABLT,AMERICAN BILTRITE INC,Pink No Information,267.000000,-31.0968,7 ,Common Stock,USA,Massachusetts
AMLC,AMELCO CORP,Pink No Information,1.000000,0,540 ,Common Stock,USA,California
ABDR,AMBASSADOR FOOD SVCS CORP,Pink No Information,0.320000,,0 ,Common Stock,USA,New York
EINF,ENTERPRISE INFORMATCS,Pink No Information,1.500000,,0 ,Common Stock,USA,California
ALMC,ALIMCO FINANCIAL CORP,Pink No Information,9.030000,,10 ,Common Stock,USA,Florida
AWRY,ALLEGHENY&WEST RY CAP6GTD,Pink No Information,139.990000,,0 ,Common Stock,USA,Florida
PBAJ,"PETRO USA, INC",Pink No Information,3.000000,,0 ,Common Stock,USA,Utah
ACNE,ALICE CONSOL MINES INC,Pink No Information,0.375000,13.6708,"50,363 ",Common Stock,USA,Idaho
OMAGQ,OMAGINE INC,Pink No Information,0.005900,0,"15,286 ",Common Stock,USA,New York
APTL,ALASKA PWR & TEL CO,Pink No Information,56.020000,,0 ,Common Stock,USA,Washington
ALAN,ALANCO TECHS INC,Pink No Information,0.021000,,0 ,Common Stock,USA,Arizona
SPQS,SPORTSQUEST INC,Pink No Information,0.000600,20,"2,459,334 ",Common Stock,USA,New York
BELR,BELL ROSE CAPITAL INC,Pink No Information,0.000000,,0 ,Common Stock,USA,California
AGRS,AGRISTAR INC,Pink No Information,0.015400,120,"7,610 ",Common Stock,USA,Utah
AGDY,AGRI-DYNAMICS INC,Pink No Information,0.045000,-8.1633,"10,600 ",Common Stock,USA,New York
STRH,STAR8 CORP,Pink No Information,0.006700,6.3492,"25,000 ",Common Stock,USA,Florida
ADDC,ADDMASTER CORP,Pink No Information,14.160000,,0 ,Common Stock,USA,California
ACMTA,ACMAT CORP A,Pink No Information,34.500000,,0 ,Common Stock,USA,Connecticut
SCBZ,SCOOBEEZ GLOBAL INC,Pink No Information,0.010000,,0 ,Common Stock,USA,California
KRFG,KING RESOURCES INC,Pink No Information,0.001100,0,"2,786,200 ",Common Stock,USA,Indiana
AFIPA,AMFI CORP A,Pink No Information,"20,000.000000",,0 ,Common Stock,USA,Florida
IWKS,AFP IMAGING CORP,Pink No Information,0.500100,,0 ,Common Stock,USA,New York
AFAP,AFA PROTECTIVE SYS INC,Pink No Information,184.000000,,0 ,Common Stock,USA,New York
RWMI,REGALWORKS MEDIA INC,Pink No Information,0.080000,0,"5,486 ",Common Stock,USA,California
AHAG,ALPHA TECHS GROUP INC,Pink No Information,0.053500,48.6111,"10,500 ",Common Stock,USA,California
ATCD,ALTAIR CORP DELA,Pink No Information,"2,900.000000",,0 ,Common Stock,USA,Illinois
AWGL,AWG LTD,Pink No Information,0.002100,,0 ,Common Stock,USA,California
TIPS,TIANRONG INTERNET PROD SV,Pink No Information,0.007300,-1.3514,"82,940 ",Common Stock,USA,Utah
BOGN,BOGEN COMMUNS INTL INC,Pink No Information,0.300000,71.4286,"1,250 ",Common Stock,USA,New Jersey
ALSE,ALSERES PHARMS INC,Pink No Information,6.000000,0,1 ,Common Stock,USA,Massachusetts
CTON,SECOND STREET CAPITAL INC,Pink No Information,0.300000,,0 ,Common Stock,USA,Florida
ENDO,ENDOCAN CORP,Pink No Information,0.030000,-8.8146,"135,294 ",Common Stock,USA,Colorado
PPMD,PROTIDE PHARMS INC,Pink No Information,0.120000,,0 ,Common Stock,USA,Illinois
NTGL,NANOTECH GAMING INC,Pink No Information,0.007100,,0 ,Common Stock,USA,Nevada
ALPE,ALPHA-EN CORP,Pink No Information,0.370500,8.9706,"1,850 ",Common Stock,USA,New York
CDTI,CDTI ADVANCED MATERIALS,Pink No Information,0.540000,-1.8182,"4,601 ",Common Stock,USA,California
SINX,SIONIX CORP,Pink No Information,0.001500,15.3846,"140,000 ",Common Stock,USA,Texas
ADSV,ALLIED SEC INNOVATINS NEW,Pink No Information,0.008900,-8.2474,"3,540,477 ",Common Stock,USA,Florida
RADR,RADIUM RESOURCES CORP,Pink No Information,0.060000,29900,420 ,Common Stock,USA,Delaware
CWIR,CENTRAL WIRELESS INC,Pink No Information,0.000700,16.6667,"910,000 ",Common Stock,USA,New Mexico
PFNO,PARAFIN CORP,Pink No Information,0.001700,-5.5556,"3,952,529 ",Common Stock,USA,Nevada
ESDF,EAST SIDE FINCL INC,Pink No Information,0.150000,,0 ,Common Stock,USA,Florida
EUOT,EUROTECH LTD,Pink No Information,0.000500,0,"1,280,000 ",Common Stock,USA,Texas
ACGI,AMACORE GROUP INC A,Pink No Information,0.000900,28.5714,"206,900 ",Common Stock,USA,Florida
APGI,AMERICAN POWER GROUP CORP,Pink No Information,0.030000,17.6471,"34,100 ",Common Stock,USA,Iowa
HABC,HABERSHAM BANCORP,Pink No Information,0.008200,,0 ,Common Stock,USA,Georgia
HXPN,HARRIS EXPLORATION INC,Pink No Information,0.050000,0,"1,000 ",Common Stock,USA,Oklahoma
HRBR,HARBOR DIVERSIFIED INC,Pink No Information,0.680000,-4.2254,"67,220 ",Common Stock,USA,Wisconsin
FPCG,FIRST PHYSICIANS CAP INC,Pink No Information,481.000100,,0 ,Common Stock,USA,California
CUBV,CUBA BEVERAGE CO,Pink No Information,0.002000,-16.6667,"12,624,347 ",Common Stock,USA,Nevada
MYSN,MYSON GROUP INC,Pink No Information,0.007150,0,"16,500 ",Common Stock,USA,Nevada
WWDH,WORLDWIDE HLDGS CORP,Pink No Information,0.007600,-21.6495,"71,500 ",Common Stock,USA,Nevada
KMFI,KELLER MFG CO INC,Pink No Information,0.170000,-32,"2,550 ",Common Stock,USA,Kentucky
KYZN,KYZEN CORP A,Pink No Information,2.200000,,0 ,Common Stock,USA,Tennessee
MPML,MPM TECHS INC,Pink No Information,0.050000,,0 ,Common Stock,USA,Washington
LTEC,LOUD TECHNOLOGIES INC,Pink No Information,0.017000,,0 ,Common Stock,USA,Washington
CEVE,CERES VENTURES INC,Pink No Information,0.065000,116.6667,600 ,Common Stock,USA,New York
MAJJ,MICHAEL ANTHONY JWLRS INC,Pink No Information,"2,200.000000",,0 ,Common Stock,USA,Florida
MAHN,MID-ATLANTIC HM HLTH NTWK,Pink No Information,0.052000,,0 ,Common Stock,USA,
MMTS,MULTI-MEDIA TUTORIAL SVCS,Pink No Information,0.002600,,0 ,Common Stock,USA,New York
PARD,PONIARD PHARMS INC,Pink No Information,0.065200,,8 ,Common Stock,USA,Washington
RIGG,RICHLAND RESOURCES INTL,Pink No Information,4.000000,,0 ,Common Stock,USA,New York
NFTI,NOFIRE TECHNOLOGIES INC,Pink No Information,0.180000,-18.1818,"207,182 ",Common Stock,USA,New Jersey
OMRX,ORTHOMETRIX INC,Pink No Information,0.003500,,0 ,Common Stock,USA,Florida
OSIN,OPTIMUM SOURCE INTL LTD,Pink No Information,0.050000,,0 ,Common Stock,USA,Florida
ALYE,ALY ENERGY SERVICES INC,Pink No Information,1.500000,,0 ,Common Stock,USA,Texas
PRLO,PROLOGIC MGMT SYSTEMS INC,Pink No Information,0.011000,,0 ,Common Stock,USA,Arizona
HDYNQ,HYPERDYNAMICS CORP,Pink No Information,0.016000,0,"29,877 ",Common Stock,USA,Texas
GACR,GREEN AUTOMOTIVE CO,Pink No Information,0.004200,-23.6364,"1,190,545 ",Common Stock,USA,California
VPRO,VIROPRO INC,Pink No Information,0.001000,-33.3333,"12,486 ",Common Stock,USA,California
SHGP,SHARPE RESOURCE CORP,Pink No Information,0.006100,,0 ,Common Stock,USA,Virginia
PFWIQ,PETRONE WORLDWIDE INC,Pink No Information,0.001900,-13.6364,"30,850,607 ",Common Stock,USA,New York
CMNT,CHINA MULANS NANO TECH,Pink No Information,0.012100,,0 ,Common Stock,USA,Florida
ZCOM,IMPRESO INC,Pink No Information,2.000000,,0 ,Common Stock,USA,Texas
SMEV,SIMULATED ENVIR CNCPTS,Pink No Information,0.002100,50,"3,137,383 ",Common Stock,USA,Florida
SUVZ,SUVANZA,Pink No Information,1.950000,-2.0101,729 ,Common Stock,USA,Florida
WBRE,WILD BRUSH ENERGY INC,Pink No Information,0.003500,0,"10,000 ",Common Stock,USA,Washington
PLNTQ,PROLIANCE INTL INC,Pink No Information,0.052000,-10.3448,"103,792 ",Common Stock,USA,Connecticut
TXCCQ,TRANSWITCH CORP,Pink No Information,0.006400,16.3636,"143,563 ",Common Stock,USA,Connecticut
EXHI,EXLITES HOLDINGS INTL INC,Pink No Information,0.040000,,0 ,Common Stock,USA,California
EZEN,EZENIA! INC,Pink No Information,0.063300,,0 ,Common Stock,USA,New Hampshire
KIWB,KIWIBOX.COM INC,Pink No Information,0.001700,13.3333,"506,484 ",Common Stock,USA,New York
WORC,WAKE UP NOW INC,Pink No Information,0.510000,,0 ,Common Stock,USA,Utah
CONCD,CONECTISYS CORP NEW,Pink No Information,0.000000,,0 ,Common Stock,USA,California
MEGH,MEGALITH CORP,Pink No Information,0.124000,-13.2867,"1,905 ",Common Stock,USA,Texas
ERGN,ERGO SCIENCE CORP,Pink No Information,"10,800.000000",,0 ,Common Stock,USA,Alabama
PAOS,AMERINAC HOLDING CORP,Pink No Information,75.000000,,0 ,Common Stock,USA,Ohio
GSFD,GLOBAL SEAFOOD TECH INC,Pink No Information,0.040000,,0 ,Common Stock,USA,Mississippi
LTRE,LEARNING TREE INTL INC,Pink No Information,0.750000,0,"25,016 ",Common Stock,USA,Virginia
STRB,STRASBAUGH,Pink No Information,0.183300,,0 ,Common Stock,USA,California
CDIIQ,CD INTERNATIONAL ENT INC,Pink No Information,0.004500,-10,"114,500 ",Common Stock,USA,Florida
ELCO,ELCOM INTL INC,Pink No Information,6.500000,,5 ,Common Stock,USA,Massachusetts
NICH,NITCHES INC,Pink No Information,0.229400,14.7,"44,168 ",Common Stock,USA,Nevada
ECDD,ECRID INC,Pink No Information,0.190000,13.4328,"16,753 ",Common Stock,USA,Florida
AXLE,T.J.T. INC,Pink No Information,0.250000,,0 ,Common Stock,USA,Idaho
GVSI,GOOD VIBRATIONS SHOES INC,Pink No Information,0.000400,-20,"11,787,714 ",Common Stock,USA,California
MLMN,MILLENNIUM PRIME INC,Pink No Information,0.004000,,0 ,Common Stock,USA,Florida
ACCA,ACACIA DIVERSIFIED HLDGS,Pink No Information,0.031000,-3.125,"1,020,563 ",Common Stock,USA,Florida
BEEN,BETTER ENVIRONMENT CNCPT,Pink No Information,1.510000,,0 ,Common Stock,USA,Washington
AOLS,AEOLUS PHARMS INC,Pink No Information,0.011000,-8.3333,"40,000 ",Common Stock,USA,California
VSMD,VASAMED INC,Pink No Information,0.008100,,0 ,Common Stock,USA,Minnesota
NWXJ,NEWAX INC,Pink No Information,188.000000,,0 ,Common Stock,USA,Illinois
AGCZ,ANDES GOLD CORP,Pink No Information,0.013000,28.7129,"78,653 ",Common Stock,USA,Florida
MRPS,MICROPHONICS INC,Pink No Information,0.007000,0,500 ,Common Stock,USA,Tennessee
SIMA,SONICS & MATERIALS INC,Pink No Information,9.500000,,0 ,Common Stock,USA,Connecticut
RAIO,RADIOIO INC,Pink No Information,0.056000,,5 ,Common Stock,USA,New York
RCCB,ROCHESTER CMNTY BASEBALL,Pink No Information,370.000000,8.8235,1 ,Common Stock,USA,New York
CZNB,CITIZENS BANCORP (CA),Pink No Information,0.025000,,0 ,Common Stock,USA,California
BCII,BLOCKCHAIN INDUSTRIES INC,Pink No Information,0.750000,-5.0633,"96,743 ",Common Stock,USA,New York
RBCL,RBC LIFE SCIENCES INC,Pink No Information,0.195000,,0 ,Common Stock,USA,Texas
NEVE,NEVO ENERGY INC,Pink No Information,0.010000,,0 ,Common Stock,USA,California
USBL,U S BASKETBALL LEAGUE INC,Pink No Information,0.090000,7.1429,"1,552 ",Common Stock,USA,Connecticut
TRAC,TRACK DATA CORP INC,Pink No Information,35.000000,29.6296,15 ,Common Stock,USA,New York
HLCN,HOLOCO INC,Pink No Information,0.040000,,0 ,Common Stock,USA,New Jersey
UNDR,UNDERSEA RECOVERY CORP,Pink No Information,0.003100,-1.8987,"5,474,180 ",Common Stock,USA,Georgia
IKMA,MEDTINO INC,Pink No Information,0.031100,,0 ,Common Stock,USA,Florida
AACS,AMER COMMERCE SOLTNS INC,Pink No Information,0.002000,-9.0909,"71,092 ",Common Stock,USA,Florida
WIRX,WIRELESS XCESSORIES GRP,Pink No Information,0.011000,,0 ,Common Stock,USA,Pennsylvania
DFODQ,DEAN FOODS CO,Pink No Information,0.061250,5.6034,"501,915 ",Common Stock,USA,Texas
BNYN,BANYAN CORP (ORE),Pink No Information,0.000500,0,"5,202,500 ",Common Stock,USA,Florida
ANMP,ANACOM INC NEW,Pink No Information,0.800000,,0 ,Common Stock,USA,California
EVSP,ENVIRONMENTAL SVC PRO INC,Pink No Information,0.002400,-7.6923,"103,250 ",Common Stock,USA,California
EASB,EASTON BANCORP INC (MD),Pink No Information,0.000000,,0 ,Common Stock,USA,Maryland
APVS,APPLIED VISUAL SCI INC,Pink No Information,0.003600,-23.4043,"298,295 ",Common Stock,USA,Virginia
UNMK,TRITENT INTL AGRICULTURE,Pink No Information,0.122000,,0 ,Common Stock,USA,Illinois
INTP,INTEGRATED PHARMS INC,Pink No Information,0.005100,,0 ,Common Stock,USA,Arizona
WEBB,WEB BLOCKCHAIN MEDIA,Pink No Information,0.056000,-8.4967,"52,017 ",Common Stock,USA,California
BIONQ,BIONITROGEN HLDGS CORP,Pink No Information,0.001800,28.5714,"1,792,069 ",Common Stock,USA,Florida
ULGX,UROLOGIX INC,Pink No Information,0.008000,,0 ,Common Stock,USA,Minnesota
DROP,FUSE SCIENCE INC,Pink No Information,0.039900,-13.8229,"559,837 ",Common Stock,USA,New York
BBUCQ,BIG BUCK BRWRY&STKHSE,Pink No Information,0.100000,0,200 ,Common Stock,USA,Michigan
RFNS,RELIANT FINCL SVC CORP,Pink No Information,0.000600,,0 ,Common Stock,USA,Florida
ATOR,ASTOR EXPLORATIONS CORP,Pink No Information,0.750000,,0 ,Common Stock,USA,Wyoming
ASNB,EKIMAS CORPORATION,Pink No Information,0.037000,-3.8961,"611,533 ",Common Stock,USA,Massachusetts
BDCM,BROADCAST MKTNG GROUP INC,Pink No Information,0.150000,50,"30,340 ",Common Stock,USA,North Carolina
EAXR,EALIXIR INC,Pink No Information,3.990000,1.0127,"1,029 ",Common Stock,USA,Florida
RGBOQ,REGEN BIOLOGICS INC NEW,Pink No Information,0.007100,,0 ,Common Stock,USA,New Jersey
HERF,RED OAK HEREFORD FARMS,Pink No Information,0.010200,,0 ,Common Stock,USA,Iowa
LNXW,LENOX WEALTH MGMT INC,Pink No Information,0.000000,,0 ,Common Stock,USA,Ohio
MPEG,INNOVACOM INC,Pink No Information,0.006400,,0 ,Common Stock,USA,Florida
PDMI,PARADIGM MED INDUS INC,Pink No Information,0.000400,12.6761,"6,708,060 ",Common Stock,USA,Utah
MMTC,MICRO IMAGING TECH INC,Pink No Information,0.278000,-20.5714,"2,582 ",Common Stock,USA,California
TVTV,WHEREVERTV BROADCASTING,Pink No Information,0.130000,,0 ,Common Stock,USA,Florida
MCHA,MATCHAAH HOLDING INC,Pink No Information,0.081000,,0 ,Common Stock,USA,Minnesota
OICT,OICINTRA INC,Pink No Information,1.000000,,3 ,Common Stock,USA,Nevada
SLUP,SOLUCORP INDUSTRIES LTD,Pink No Information,0.006600,0,"12,100 ",Common Stock,USA,Florida
BSEG,BIG SCREEN ENTMT GRP INC,Pink No Information,0.016600,-1.1905,"196,396 ",Common Stock,USA,California
AMIN,AMERICAN INTL INDUS INC,Pink No Information,0.081000,,0 ,Common Stock,USA,Texas
EFLI,CELL TECH INTL INC,Pink No Information,0.007500,,0 ,Common Stock,USA,Oregon
TLPC,TELPAC INDUSTRIES INC,Pink No Information,0.003100,-84.5,"125,200 ",Common Stock,USA,California
LGBI,CANNABIZ MOBILE INC,Pink No Information,0.001000,-9.0909,"1,689,090 ",Common Stock,USA,New York
WOWI,METRO ONE TELECOMMUNS INC,Pink No Information,0.017000,,0 ,Common Stock,USA,Oregon
BSTK,BRITE-STRIKE TACTICAL INC,Pink No Information,0.017100,,0 ,Common Stock,USA,Massachusetts
FIND,FINDEX.COM INC,Pink No Information,0.009500,,0 ,Common Stock,USA,Florida
MPHD,MEDIA PAL HOLDINGS CORP,Pink No Information,0.013600,,10 ,Common Stock,USA,Florida
GRLF,GREEN LEAF INNOVATNS INC,Pink No Information,0.001000,42.8571,"642,852,145 ",Common Stock,USA,Georgia
MCAP,MANGO CAPITAL INC,Pink No Information,0.040000,,2 ,Common Stock,USA,New Jersey
PFTI,PURADYN FILTER TECHS INC,Pink No Information,0.013900,,0 ,Common Stock,USA,Florida
ABPR,AIRBORNE SEC & PROT SVCS,Pink No Information,0.001400,55.5556,"60,000 ",Common Stock,USA,Florida
CICN,CICERO INC,Pink No Information,0.006500,,1 ,Common Stock,USA,North Carolina
PEGX,PEGAGUS COMPANIES INC,Pink No Information,286.500000,,0 ,Common Stock,USA,Pennsylvania
EQTL,EQUITECH INTL CORP,Pink No Information,0.055000,,0 ,Common Stock,USA,New Jersey
PGUZ,PEGASUS PHARMS INC,Pink No Information,0.017000,0,"31,000 ",Common Stock,USA,Florida
OPUS,OPUS MAGNUM AMERIS INC,Pink No Information,0.014200,,9 ,Common Stock,USA,Florida
BXLC,BEXIL CORP,Pink No Information,15.250000,,0 ,Common Stock,USA,New Hampshire
ASFX,AMERICAN SCIENTFC RES,Pink No Information,0.001200,100,"507,700 ",Common Stock,USA,Florida
JAGR,GREEN STREET CAPITAL CORP,Pink No Information,0.009000,0,"50,000 ",Common Stock,USA,Florida
ZCBD,BODY BASICS INC,Pink No Information,0.750000,,30 ,Common Stock,USA,California
IDND,INTL DISPENSING CORP,Pink No Information,0.200000,15.942,"119,855 ",Common Stock,USA,New York
ENCW,ENCHANTED WORLD INC,Pink No Information,0.179400,,59 ,Common Stock,USA,Nevada
ASZP,JV GROUP INC,Pink No Information,0.012900,,0 ,Common Stock,USA,Colorado
ALLN,ALLIN CORP,Pink No Information,1.200000,,0 ,Common Stock,USA,Pennsylvania
GLBH,GLOBALTECH HLDGS INC,Pink No Information,0.014300,,0 ,Common Stock,USA,Georgia
SBSAA,SPANISH BRDCSTNG SYS A,Pink No Information,2.070000,-5.9091,"11,454 ",Common Stock,USA,Florida
VUOC,VU1 CORP,Pink No Information,0.010000,-29.5775,"8,401 ",Common Stock,USA,California
CNDL,CANDLEWOOD HOTEL CO INC,Pink No Information,0.035000,-20.4545,"31,410 ",Common Stock,USA,Kansas
DRWN,A CLEAN SLATE INC,Pink No Information,0.000700,40,"75,317,798 ",Common Stock,USA,Texas
USEI,US ENERGY INITIATIVES CRP,Pink No Information,0.003400,6.25,"619,713,911 ",Common Stock,USA,California
TUXS,TUXIS CORP,Pink No Information,4.000000,,0 ,Common Stock,USA,New York
PCSO,PROTECTIVE CAP STRCTURES,Pink No Information,1.000000,,0 ,Common Stock,USA,Delaware
AVXT,AVAX TECHS INC,Pink No Information,0.008500,-29.1667,"285,872 ",Common Stock,USA,Pennsylvania
MVEN,THEMAVEN INC,Pink No Information,0.780000,9.8592,"12,767 ",Common Stock,USA,New York
NEOM,NEOMEDIA TECHS INC,Pink No Information,0.001900,-5,"16,482,282 ",Common Stock,USA,Colorado
ENTI,ENCOUNTER TECHS INC,Pink No Information,0.000300,-25,"12,759,174 ",Common Stock,USA,Oklahoma
BCAP,BARON CAPITAL ENTERPRISE,Pink No Information,0.000800,0,"11,967,499 ",Common Stock,USA,Florida
QRSM,QRS MUSIC TECHS INC,Pink No Information,0.302500,,0 ,Common Stock,USA,Pennsylvania
IRNC,IRONCLAD ENCRYPTION CORP,Pink No Information,0.001300,-13.3333,"15,003,833 ",Common Stock,USA,Texas
NBRY,NEWBERRY SPECIALTY BAKERS,Pink No Information,0.009900,,0 ,Common Stock,USA,Texas
ITNF,INTERNET INFINITY INC,Pink No Information,0.018750,,0 ,Common Stock,USA,California
ETER,ENTERRA CORPORATION,Pink No Information,0.027500,-21.4286,792 ,Common Stock,USA,New York
DGIF,D7 ENTERPRISES INC,Pink No Information,0.075100,-16.5556,"10,253 ",Common Stock,USA,Colorado
BBAL,NEW YORK HEALTH CARE INC,Pink No Information,0.013500,32.3529,"41,008 ",Common Stock,USA,New York
EMPS,EMP SOLUTIONS INC,Pink No Information,0.035000,,0 ,Common Stock,USA,Ohio
TMCV,TEMECULA VALLEY BNCRP INC,Pink No Information,0.007200,-52,"23,227 ",Common Stock,USA,California
SUNC,SUNCAST SOLAR ENERGY INC,Pink No Information,0.029900,19.6,"144,164 ",Common Stock,USA,Colorado
TEUM,PARETEUM CORPORATION,Pink No Information,0.485000,-0.5128,"354,925 ",Common Stock,USA,New York
PRMO,PROM RESOURCES INC,Pink No Information,0.000650,-18.75,"43,347,725 ",Common Stock,USA,Florida
VCST,VIEWCAST.COM INC,Pink No Information,0.005000,,0 ,Common Stock,USA,Texas
SGUJ,SAGUARO HOLDINGS CORP,Pink No Information,0.050000,,0 ,Common Stock,USA,California
SPBV,SPORTS POUCH BEV CO INC,Pink No Information,0.004300,0,"375,063 ",Common Stock,USA,California
EWRC,EWORLD COMPANIES INC,Pink No Information,0.009000,32.8413,"748,413 ",Common Stock,USA,California
SKVY,SENTRY TECH CORP,Pink No Information,0.004300,,0 ,Common Stock,USA,New York
CBPI,CHINA BOTANIC PHARMS INC,Pink No Information,0.086000,7.5,"47,040 ",Common Stock,USA,New York
RIVT,RIVIERA TOOL CO,Pink No Information,0.050000,66.6667,"54,855 ",Common Stock,USA,Michigan
ILST,INTL STAR INC,Pink No Information,0.000500,-9.0909,"11,721,612 ",Common Stock,USA,Florida
NMGC,NEOMAGIC CORP,Pink No Information,0.022800,42.5,"23,001 ",Common Stock,USA,California
PRPM,PROTEK CAPITAL INC,Pink No Information,0.001660,-7.7778,"129,336,369 ",Common Stock,USA,Wyoming
XCRT,XCELERATE INC,Pink No Information,0.130700,15.7815,"2,269,484 ",Common Stock,USA,Florida
SRSN,STRATEGIC RES INTL INC,Pink No Information,0.010000,,0 ,Common Stock,USA,Washington
UNVC,UNIVEC INC,Pink No Information,0.113600,-5.3333,"1,903,060 ",Common Stock,USA,Maryland
HRTT,HEART TRONICS INC,Pink No Information,0.850000,,0 ,Common Stock,USA,California
GSPH,GEOSPATIAL CORPORATION,Pink No Information,0.007780,,0 ,Common Stock,USA,Virginia
EATR,EASTERN ASTERIA INC,Pink No Information,0.000400,0,"10,875,826 ",Common Stock,USA,Florida
AHFI,ABSOLUTE HEALTH & FITNESS,Pink No Information,0.003300,-34,"3,650 ",Common Stock,USA,Nevada
TNTC,TINTIC STANDARD GLD MNS,Pink No Information,0.200000,,10 ,Common Stock,USA,Idaho
GMZP,GEMZ CORP,Pink No Information,0.001000,0,"26,100 ",Common Stock,USA,New York
PRVU,PREVU INC,Pink No Information,0.005830,6,"7,175 ",Common Stock,USA,Minnesota
NXSI,NEXIS INTL INDUS INC,Pink No Information,0.004100,,0 ,Common Stock,USA,Washington
ZEON,ZEONS CORP,Pink No Information,0.200100,,1 ,Common Stock,USA,Texas
ACBCQ,ALBINA COMMUNITY BNCRP,Pink No Information,0.040000,,0 ,Common Stock,USA,Oregon
THDS,3DSHOPPING.COM,Pink No Information,0.079950,,0 ,Common Stock,USA,Virginia
EQLB,EQ LABS INC,Pink No Information,0.003500,0,"89,076 ",Common Stock,USA,Nevada
FLST,FUELSTREAM INC,Pink No Information,0.005000,,0 ,Common Stock,USA,Utah
DBMG,DBM GLOBAL INC,Pink No Information,58.010000,,1 ,Common Stock,USA,Arizona
